step,total_coin,mean_coin,gini,planner_reward,reward_agent_0,reward_agent_1,reward_agent_2,reward_agent_3,coin_agent_0,coin_agent_1,coin_agent_2,coin_agent_3,wood_agent_0,wood_agent_1,wood_agent_2,wood_agent_3,stone_agent_0,stone_agent_1,stone_agent_2,stone_agent_3,labor_agent_0,labor_agent_1,labor_agent_2,labor_agent_3
0,0.0,0.0,0.0,0.0,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0
1,0.0,0.0,0.0,0.0,-0.21,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,2.0,1.0,0.0
2,0.0,0.0,0.0,0.0,-0.21,-0.21,-0.0525,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2.0,3.0,1.25,0.0
3,0.0,0.0,0.0,0.0,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3.0,4.0,1.25,0.0
4,0.0,0.0,0.0,0.0,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4.0,5.0,1.25,0.0
5,0.0,0.0,0.0,0.0,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5.0,6.0,1.25,0.0
6,0.0,0.0,0.0,0.0,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,6.0,7.0,1.25,0.0
7,0.0,0.0,0.0,0.0,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7.0,8.0,1.25,0.0
8,0.0,0.0,0.0,0.0,-0.21,-0.21,-0.0525,-0.0525,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,8.0,9.0,1.5,0.25
9,0.0,0.0,0.0,0.0,-0.21,-0.21,-0.0525,-0.0525,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,9.0,10.0,1.75,0.5
10,0.0,0.0,0.0,0.0,-0.21,-0.21,-0.0525,-0.0525,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,10.0,11.0,2.0,0.75
11,0.0,0.0,0.0,0.0,-0.21,-0.21,-0.0525,-0.0525,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,11.0,12.0,2.25,1.0
12,0.0,0.0,0.0,0.0,-0.21,-0.21,-0.0525,-0.0525,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,12.0,13.0,2.5,1.25
13,0.0,0.0,0.0,0.0,-0.21,-0.21,-0.0525,-0.0525,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,13.0,14.0,2.75,1.5
14,0.0,0.0,0.0,0.0,-0.21,-0.21,-0.0525,-0.0525,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,14.0,15.0,3.0,1.75
15,0.0,0.0,0.0,0.0,-0.21,-0.21,-0.0525,-0.0525,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,15.0,16.0,3.25,2.0
16,0.0,0.0,0.0,0.0,-0.21,-0.21,-0.0525,-0.0525,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,16.0,17.0,3.5,2.25
17,0.0,0.0,0.0,0.0,-0.21,-0.21,0.0,-0.0525,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,17.0,18.0,3.5,2.5
18,0.0,0.0,0.0,0.0,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,18.0,19.0,3.5,2.5
19,0.0,0.0,0.0,0.0,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,19.0,20.0,3.5,2.5
