step,action_agent_0,action_agent_1,action_agent_2,action_agent_3,planner_action
0,47,47,0,0,"[0, 1, 2, 3, 4, 5, 6]"
1,47,47,47,0,NOOP
2,47,47,47,0,NOOP
3,47,47,47,0,NOOP
4,0,49,47,0,NOOP
5,47,24,47,0,NOOP
6,47,24,47,0,NOOP
7,47,24,47,0,NOOP
8,47,24,47,24,NOOP
9,47,24,47,24,NOOP
10,47,2,47,24,NOOP
11,47,2,47,24,NOOP
12,47,2,47,24,NOOP
13,47,2,47,2,NOOP
14,47,2,49,2,NOOP
15,47,48,49,2,NOOP
16,47,49,49,2,NOOP
17,47,48,49,2,NOOP
18,47,46,49,0,NOOP
19,47,0,48,0,NOOP
20,46,47,49,47,NOOP
21,47,0,48,0,NOOP
22,49,0,49,47,NOOP
23,48,49,48,47,NOOP
24,46,0,49,0,NOOP
25,47,48,48,0,NOOP
26,49,0,49,0,NOOP
27,49,0,48,0,NOOP
28,46,0,49,0,NOOP
29,47,0,48,0,NOOP
30,46,0,49,0,NOOP
31,47,0,48,47,NOOP
32,49,0,49,47,NOOP
33,46,0,48,0,NOOP
34,47,0,49,0,NOOP
35,46,0,48,0,NOOP
36,47,0,49,0,NOOP
37,46,0,48,47,NOOP
38,47,0,49,0,NOOP
39,49,0,48,0,NOOP
40,48,0,49,0,NOOP
41,49,0,48,47,NOOP
42,48,0,49,47,NOOP
43,49,0,48,0,NOOP
44,48,0,49,0,NOOP
45,49,0,48,0,NOOP
46,48,0,49,0,NOOP
47,46,0,48,47,NOOP
48,47,0,49,0,NOOP
49,49,0,48,0,NOOP
50,48,0,49,0,NOOP
51,48,46,48,0,NOOP
52,48,47,49,0,NOOP
53,49,46,48,0,NOOP
54,49,47,49,0,NOOP
55,48,49,48,0,NOOP
56,49,24,49,0,NOOP
57,49,24,48,0,NOOP
58,48,24,49,0,NOOP
59,48,24,48,0,NOOP
60,48,24,49,0,NOOP
61,48,2,48,24,NOOP
62,48,2,49,0,NOOP
63,48,2,48,24,NOOP
64,48,48,49,19,NOOP
65,48,2,48,19,NOOP
66,48,2,49,0,NOOP
67,49,0,48,0,NOOP
68,48,49,49,24,NOOP
69,49,48,48,0,NOOP
70,48,0,49,0,NOOP
71,49,0,48,0,NOOP
72,48,0,49,24,NOOP
73,46,0,48,0,NOOP
74,47,0,49,0,NOOP
75,49,0,48,0,NOOP
76,48,0,49,0,NOOP
77,49,49,48,0,NOOP
78,48,0,49,0,NOOP
79,49,0,48,0,NOOP
80,48,48,49,0,NOOP
81,49,0,48,0,NOOP
82,48,0,49,0,NOOP
83,49,0,48,0,NOOP
84,48,0,49,0,NOOP
85,49,0,48,0,NOOP
86,48,0,49,0,NOOP
87,49,0,48,0,NOOP
88,48,0,49,0,NOOP
89,49,0,48,0,NOOP
90,48,0,49,0,NOOP
91,49,0,48,0,NOOP
92,48,0,49,0,NOOP
93,49,49,48,0,NOOP
94,48,48,49,0,NOOP
95,49,49,48,0,NOOP
96,48,48,49,0,NOOP
97,49,49,48,0,NOOP
98,48,48,49,0,NOOP
99,49,0,48,0,NOOP
100,48,49,49,0,"[0, 5, 8, 12, 17, 20, 21]"
101,49,48,48,0,NOOP
102,48,0,49,0,NOOP
103,49,49,48,0,NOOP
104,48,48,49,0,NOOP
105,49,0,48,0,NOOP
106,49,0,49,0,NOOP
107,48,24,48,0,NOOP
108,48,24,49,0,NOOP
109,49,24,48,0,NOOP
